#,Name,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Diamond,Pearl,Platinium,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brillant Diamond,Shining Pearl,Pokémon Legends Arceus
20,"Raticate
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,—,—,—,—,—
21,Spearow,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,B,B,B,B,B,B,T,T,C,C,C,C,C,C,—,—,C,C,—
22,Fearow,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,S,S,C,C,T,T,C,C,C,C,C,C,—,—,C,C,—
23,Ekans,C,T,T,T,R,C,C,Ev,Ev,C,Ev,Ev,D,D,D,C,C,DW,DW,DW,DW,C,C,T,T,T,T,C,C,T,C,—,—,C,T,—
24,Arbok,C,T,T,T,E,C,C,EvE,EvE,C,EvE,EvE,D,D,D,C,C,DWE,DWE,DWE,DWE,C,C,T,T,T,T,R,R,T,C,—,—,E,T,—
25,Pikachu,C,C,C,R,C,C,C,C,C,C,C,C,C,C,C,C,C,Ev,Ev,Ev,Ev,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
26,Raichu,C,C,C,EvE,E,E,E,E,E,E,E,E,E,E,E,E,E,EvE,EvE,EvE,EvE,E,E,E,E,T,T,E,E,E,E,D,D,E,E,C
26,"Raichu
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,R,R,RD,RD,—,—,—
27,Sandshrew,T,C,C,C,C,R,C,C,C,Ev,C,C,D,D,D,C,C,B,B,C,C,B,B,C,C,T,T,T,T,C,T,CD,CD,T,C,—
27,"Sandshrew
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,T,C,R,T,RD,RD,—,—,—
28,Sandslash,T,C,C,C,C,E,C,E,E,EvE,C,E,D,D,D,C,C,C,C,C,C,C,C,E,E,T,T,T,T,E,T,CD,CD,T,C,—
28,"Sandslash
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,E,T,E,E,T,ED,ED,—,—,—
29,Nidoran ♀,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DW,C,C,C,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—
30,Nidorina,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DWE,E,E,E,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—
31,Nidoqueen,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,DWE,E,E,E,E,E,T,T,T,T,EvB,EvB,C,C,CD,CD,E,E,—
32,Nidoran ♂,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DW,C,C,C,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—
33,Nidorino,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DWE,E,E,E,C,C,T,T,T,T,EvB,EvB,C,C,CD,CD,C,C,—
34,Nidoking,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,DWE,E,E,E,E,E,T,T,T,T,Ev,Ev,C,C,CD,CD,E,E,—
35,Clefairy,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,C,C,FS,FS,C,C,C,C,C,C,C,C,C,C,C,C,C
36,Clefable,E,E,R,E,E,E,E,T,T,E,E,T,E,E,E,E,E,C,C,C,C,FSE,FSE,E,E,E,E,E,E,C,C,C,C,E,E,C
37,Vulpix,T,C,T,R,T,C,T,C,C,Ev,C,C,D,D,D,T,C,C,C,C,C,FSB,FSB,C,C,T,T,T,T,T,C,C,C,T,C,C
37,"Vulpix
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,Ev,C,T,T,R,RD,RD,—,—,C
38,Ninetales,T,E,T,E,T,E,T,E,E,EvE,E,E,DE,DE,DE,T,E,C,C,C,C,FS,FS,E,E,T,T,T,T,T,C,C,D,T,E,C
38,"Ninetales
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,EvE,E,T,T,E,ED,ED,—,—,E
39,Jigglypuff,C,C,C,C,C,C,C,C,C,C,C,C,S,S,S,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,S,S,—
40,Wigglytuff,C,C,C,R,E,E,E,E,E,E,E,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,E,E,E,E,E,CD,CD,E,E,—
41,Zubat,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C
42,Golbat,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,C,C,C,C,C,C,C,C,CD,CD,C,C,C
43,Oddish,C,T,C,C,C,C,C,C,C,C,Ev,C,C,C,C,C,C,DW,C,DW,DW,C,C,C,C,T,T,T,T,C,T,C,C,C,C,—
44,Gloom,C,T,C,C,C,C,C,C,C,C,EvE,C,C,C,C,C,C,DWE,E,DWE,DWE,E,E,C,C,T,T,T,T,C,T,C,C,C,C,—
45,Vileplume,E,T,E,E,E,E,E,E,E,E,EvE,E,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,T,T,C,T,C,C,E,E,—
46,Paras,C,C,C,C,C,C,C,T,T,C,C,T,S,S,S,C,C,DW,S,DW,DW,FS,FS,C,C,C,C,C,C,C,C,—,—,S,S,C
47,Parasect,C,C,C,C,E,E,C,T,T,C,C,T,E,E,E,C,C,DWE,E,DWE,DWE,FSE,FSE,E,E,E,E,C,C,E,E,—,—,E,E,C
48,Venonat,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,B,B,C,C,FSB,FSB,B,B,T,T,T,T,C,C,—,—,C,C,—
49,Venomoth,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,E,E,FS,FS,C,C,T,T,T,T,C,C,—,—,C,C,—
50,Diglett,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DW,DW,DW,DW,B,B,C,C,T,T,T,T,C,C,C,C,C,C,—
50,"Diglett
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,RD,RD,—,—,—
51,Dugtrio,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DWE,DWE,DWE,DWE,C,C,E,E,T,T,T,T,C,C,C,C,C,C,—
51,"Dugtrio
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,ED,ED,—,—,—
52,Meowth,T,C,C,T,T,C,C,Ev,Ev,C,C,R,S,S,S,T,C,DW,DW,R,R,T,T,B,B,T,T,T,T,T,C,R,R,S,S,—
52,"Meowth
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,T,R,RD,RD,—,—,—
52,"Meowth
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—
53,Persian,T,E,E,T,T,C,C,EvE,EvE,C,C,E,E,E,E,T,C,DWE,DWE,E,E,T,T,C,C,T,T,T,T,R,E,E,E,E,E,—
53,"Persian
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,C,C,T,E,ED,ED,—,—,—
54,Psyduck,C,C,C,C,C,C,C,C,C,C,Ev,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C
55,Golduck,C,C,E,C,C,C,C,C,C,C,EvE,C,C,C,C,C,C,C,C,C,C,E,E,E,E,C,C,C,C,C,C,CD,CD,E,E,C
56,Mankey,C,T,T,C,C,T,T,T,T,C,C,T,C,C,C,C,T,S,S,R,R,FS,FS,C,C,C,C,C,C,C,T,—,—,C,C,—
57,Primeape,E,T,T,C,C,T,T,T,T,C,C,T,C,C,C,C,T,E,E,E,E,FSE,FSE,E,E,C,C,C,C,E,T,—,—,C,C,—
58,Growlithe,C,T,C,C,C,T,C,Ev,Ev,C,Ev,Ev,D,D,D,C,T,DW,DW,C,C,FS,FS,C,C,C,C,C,C,C,T,C,C,C,T,—
58,Growlithe (Hisuian),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C
59,Arcanine,E,T,E,E,E,T,E,EvE,EvE,E,EvE,EvE,DE,DE,DE,E,T,DWE,DWE,E,E,FSE,FSE,E,E,E,E,E,E,C,R,D,C,E,T,—
59,Arcanine (Hisuian),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C
60,Poliwag,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,C,C,C,C,T,T,C,C,C,C,C,C,CD,CD,C,C,—
61,Poliwhirl,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,C,C,C,C,T,T,R,R,C,C,C,C,CD,CD,C,C,—
62,Poliwrath,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,C,C,C,C,C,C,T,T,C,C,C,C,C,C,CD,CD,E,E,—
63,Abra,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,DW,C,B,B,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C
64,Kadabra,C,C,C,C,C,C,C,E,E,C,C,E,C,C,C,C,C,DW,E,B,B,E,E,E,E,C,C,E,E,C,C,CD,CD,C,C,C
65,Alakazam,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,DWET,ET,R,R,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,CD,CD,ET,ET,C
66,Machop,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,DW,C,DW,DW,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
67,Machoke,C,C,C,C,C,C,C,E,E,C,C,E,C,C,C,C,C,DWE,E,DWE,DWE,E,E,E,E,C,C,C,C,C,C,C,C,C,C,C
68,Machamp,ET,ET,ET,R,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,DWET,ET,DWET,DWET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,C,C,ET,ET,C
69,Bellsprout,T,C,T,C,C,C,C,Ev,Ev,Ev,C,Ev,C,C,C,C,C,DW,C,DW,DW,C,C,T,T,S,S,T,T,T,C,—,—,C,C,—
70,Weepinbell,T,C,T,C,C,C,C,EvE,EvE,EvE,C,EvE,C,C,C,C,C,DWE,E,DWE,DWE,C,C,T,T,E,E,T,T,T,C,—,—,C,C,—
71,Victreebel,T,E,T,E,E,E,E,EvE,EvE,EvE,E,EvE,E,E,E,E,E,DWE,E,DWE,DWE,E,E,T,T,E,E,T,T,T,C,—,—,E,E,—
72,Tentacool,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,DW,DW,DW,DW,C,C,C,C,C,C,C,C,C,C,CD,CD,C,C,C
73,Tentacruel,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,DWE,DWE,DWE,DWE,E,E,C,C,C,C,C,C,C,C,CD,CD,C,C,C
74,Geodude,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,DW,DW,C,C,C,C,T,T,T,T,C,C,—,—,C,C,C
74,"Geodude
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,B,B,R,R,—,—,—,—,—
75,Graveler,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,DWE,DWE,C,C,C,C,T,T,T,T,C,C,—,—,C,C,C
75,"Graveler
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,E,E,—,—,—,—,—
76,Golem,ET,ET,R,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,ET,DWET,DWET,ET,ET,ET,ET,T,T,T,T,ET,ET,—,—,ET,ET,C
76,"Golem
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,R,R,ET,ET,ET,ET,—,—,—,—,—
77,Ponyta,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,B,B,DW,DW,FS,FS,C,C,T,T,T,T,C,C,T,RD,C,C,C
77,"Ponyta
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,C,—,—,—
78,Rapidash,E,E,C,E,C,C,C,T,T,C,C,T,E,E,E,C,C,C,C,DWE,DWE,FSE,FSE,E,E,T,T,T,T,C,C,T,ED,E,E,C
78,"Rapidash
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,T,D,—,—,—
79,Slowpoke,C,C,C,C,C,C,C,Ev,Ev,Ev,C,Ev,T,C,C,C,C,C,C,S,S,C,C,C,C,C,C,C,C,C,C,RD,RD,T,C,—
79,"Slowpoke
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—
80,Slowbro,C,C,C,C,C,C,C,EvE,EvE,EvE,C,EvE,T,E,E,C,C,C,C,E,E,E,E,E,E,C,C,C,C,C,C,DA,DA,T,E,—
80,"Slowbro
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,ED,ED,—,—,—
81,Magnemite,C,C,C,C,C,C,C,C,C,C,C,C,S,S,C,C,C,DW,C,C,C,B,B,C,C,C,C,C,C,C,C,CD,CD,C,C,C
82,Magneton,C,C,C,C,E,E,R,C,C,C,C,C,E,E,C,C,C,DWE,E,C,C,C,C,E,E,E,E,E,E,C,C,CD,CD,E,E,C
83,Farfetch'd,R,R,R,C,C,C,C,T,T,R,R,T,S,S,S,C,C,S,S,S,S,C,C,T,T,T,T,T,T,C,C,RD,T,C,C,—
83,"Farfetch'd
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,T,—,—,—
84,Doduo,C,C,C,C,C,C,C,C,C,C,C,C,S,S,S,C,C,S,S,S,S,C,C,C,C,T,T,T,T,C,C,—,—,C,C,—
85,Dodrio,C,C,C,C,C,C,C,C,C,E,E,C,E,E,E,C,C,E,E,E,E,E,E,E,E,T,T,T,T,C,C,—,—,E,E,—
86,Seel,C,C,C,C,C,C,C,T,T,C,C,T,C,T,B,C,C,C,C,C,C,FSB,FSB,C,C,T,T,C,C,C,C,—,—,C,T,—
87,Dewgong,C,C,C,C,E,E,E,T,T,C,C,T,C,T,C,C,C,C,C,C,C,FS,FS,C,C,T,T,E,E,C,C,—,—,C,T,—
88,Grimer,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,DW,DW,C,C,FSB,FSB,C,C,T,T,T,T,C,T,—,—,C,C,—
88,"Grimer
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,T,—,—,—,—,—
89,Muk,C,C,C,C,C,C,C,E,E,E,C,E,E,E,E,C,C,DWE,DWE,C,C,FS,FS,E,E,T,T,T,T,C,T,—,—,E,E,—
89,"Muk
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,E,E,E,T,—,—,—,—,—
90,Shellder,C,C,C,C,C,C,C,Ev,Ev,C,Ev,Ev,C,C,C,C,C,C,C,C,C,FSB,C,T,T,C,C,C,C,C,C,C,C,C,C,—
91,Cloyster,E,E,E,E,E,E,E,EvE,EvE,E,EvE,EvE,E,E,E,E,E,C,C,C,C,FS,C,T,T,E,E,E,E,C,C,C,C,E,E,—
92,Gastly,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DW,C,DW,DW,B,B,EvB,EvB,C,C,C,C,C,C,C,C,C,C,C
93,Haunter,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,DWE,E,DWE,DWE,C,C,EvB,EvB,C,C,C,C,C,C,C,C,E,E,C
94,Gengar,ET,ET,R,ET,ET,ET,ET,T,T,ET,ET,T,D,D,D,ET,ET,DWET,ET,DWET,DWET,ET,ET,Ev,Ev,C,C,C,C,ET,ET,C,C,ET,ET,C
95,Onix,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,S,S,C,C,C,C,C,C,C
96,Drowzee,C,C,C,C,C,C,C,T,T,C,C,T,S,S,S,C,C,DW,DW,B,B,FS,FS,B,B,C,C,C,C,C,C,—,—,C,C,—
97,Hypno,C,C,C,E,C,C,C,T,T,C,C,T,E,E,E,C,C,DWE,DWE,S,S,FSE,FSE,C,C,C,C,C,C,E,E,—,—,E,E,—
98,Krabby,C,C,C,C,C,C,C,T,T,C,C,T,S,S,S,C,C,C,C,C,C,FS,FS,C,C,T,T,T,T,C,C,C,C,C,C,—
99,Kingler,C,C,C,C,C,C,C,T,T,E,C,T,E,E,E,C,C,C,C,C,C,FSE,FSE,E,E,T,T,T,T,C,C,C,C,E,E,—
100,Voltorb,C,C,C,C,C,C,C,C,C,C,C,C,S,S,S,C,C,DW,DW,DW,DW,B,B,C,C,T,T,B,B,C,C,—,—,C,C,—
100,Voltorb (Hisuian),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C
101,Electrode,C,C,C,C,C,C,C,C,C,C,C,C,E,E,E,C,C,DWE,DWE,DWE,DWE,C,C,C,C,T,T,C,C,C,C,—,—,E,E,—
101,Electrode (Hisuian),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C
102,Exeggcute,C,C,C,C,C,C,C,T,T,C,C,T,S,S,S,C,C,S,S,DW,DW,C,C,T,T,C,C,C,C,C,C,CD,CD,S,S,—
103,Exeggutor,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,E,E,DWE,DWE,E,E,T,T,T,T,E,E,C,C,CD,CD,E,E,—
103,"Exeggutor
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,RD,RD,—,—,—
104,Cubone,C,C,C,C,C,C,C,T,T,C,C,T,S,S,S,C,C,B,B,DW,DW,C,C,T,T,C,C,C,C,C,C,CD,CD,C,C,—
105,Marowak,C,C,C,C,C,C,C,T,T,C,C,T,E,E,E,C,C,C,C,DWE,DWE,E,E,T,T,T,T,E,E,E,E,CD,CD,E,E,—
105,"Marowak
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,E,E,R,E,R,R,RD,RD,—,—,—
106,Hitmonlee,R,R,R,R,E,E,E,T,T,R,R,T,E,E,E,E,E,E,E,DWE,DWE,FSE,FSE,E,E,T,T,T,T,C,C,C,D,E,E,—
107,Hitmonchan,R,R,R,R,E,E,E,T,T,R,R,T,E,E,E,E,E,E,E,DWE,DWE,FSE,FSE,E,E,T,T,T,T,C,C,D,C,E,E,—
108,Lickitung,R,R,C,C,C,C,C,T,T,R,R,T,S,S,C,C,C,C,C,C,C,C,C,T,T,T,T,C,C,C,C,CD,CD,C,C,C
109,Koffing,C,C,C,T,C,C,C,C,C,C,C,C,B,B,C,C,C,DW,DW,C,C,T,T,C,C,T,T,T,T,T,C,C,C,B,B,—
110,Weezing,C,C,C,T,E,E,C,E,E,C,E,E,C,C,C,C,C,DWE,DWE,C,C,T,T,E,E,T,T,T,T,T,C,RD,RD,C,C,—
110,"Weezing
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—
111,Rhyhorn,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,DW,C,R,R,C,C,C,C,S,S,S,S,C,C,C,C,C,C,C
112,Rhydon,C,C,C,C,R,R,C,E,E,E,E,E,C,C,C,C,C,DW,E,E,E,E,E,E,E,E,E,E,E,C,C,C,C,C,C,C
113,Chansey,C,C,C,C,C,C,C,Ev,Ev,C,C,Ev,C,C,C,C,C,DW,E,E,E,FS,FS,E,E,C,C,C,C,C,C,CD,CD,C,C,C
114,Tangela,C,C,C,C,C,C,C,T,T,C,C,T,Ev,Ev,C,C,C,C,C,C,C,FS,FS,C,C,T,T,T,T,C,C,CD,CD,C,C,C
115,Kangaskhan,C,C,R,C,C,C,C,Ev,Ev,C,C,Ev,S,S,S,C,C,C,C,DW,DW,C,C,Ev,Ev,C,C,C,C,C,C,CD,CD,S,S,—
116,Horsea,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,S,S,S,S,C,C,CD,CD,C,C,—
117,Seadra,C,C,C,C,C,C,C,E,E,C,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,E,E,E,E,C,C,CD,CD,C,C,—
118,Goldeen,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—
119,Seaking,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,—
120,Staryu,C,C,C,C,C,C,C,C,C,Ev,C,C,C,C,C,C,C,C,C,C,C,C,T,C,C,C,C,C,C,C,C,CD,CD,C,C,—
121,Starmie,E,E,E,E,E,E,E,E,E,EvE,E,E,E,E,E,E,E,C,C,C,C,C,T,E,E,C,C,C,C,C,C,CD,CD,E,E,—
122,Mr. Mime,R,R,R,R,C,C,C,T,T,R,R,T,C,E,C,C,C,DW,DW,DW,S,C,C,T,T,T,T,C,C,C,C,R,R,C,C,C
122,"Mr. Mime
(Galarian)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,—,—,—
123,Scyther,C,T,C,C,C,C,C,Ev,Ev,C,Ev,Ev,C,EvB,C,C,C,DW,DW,DW,DW,C,C,T,T,C,C,C,C,C,T,CD,CD,C,T,C
124,Jynx,R,R,C,T,C,C,C,T,T,R,R,T,E,E,C,C,C,C,C,DRE,DRE,C,C,T,T,T,T,C,C,C,C,CD,CD,E,E,—
