Bankable,Breeedable Form,Origin,Games First Appears On,Form variant,Regional form,Special form,Family,Family order,Evolution,Pokémon,Pokémon Fr,Dex,Sprites,Shiny Sprites,Icon,Bulbapedia Name,Bankable-ish,Slug,Type 1,Type 1 ico,Type 2,Type 2 ico,Steps,Egg Group,Egg Group 2,Male,Female,Ability 1,Ability 2,Hidden Ability,Abilities,All Moves,Move Type,Natures,Increases,Decreases
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Weedle,0,,Weedle,Aspicot,13,,,weedle,Weedle,,weedle,Bug,,Poison,,"3,840",Bug,,50.00%,50.00%,Shield Dust,,Run Away,Chlorophyll,Aqua Jet,Water,Relaxed,Defense,Speed
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Weedle,1,07,Kakuna,Coconfort,14,,,kakuna,Kakuna,,kakuna,Bug,,Poison,,"3,840",Bug,,50.00%,50.00%,Shed Skin,,,Clear Body,Aqua Ring,Water,Sassy,Sp. Defense,Speed
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Weedle,2,10,Beedrill,Dardargnan,15,,,beedrill,Beedrill,,beedrill,Bug,,Poison,,"3,840",Bug,,50.00%,50.00%,Swarm,,Sniper,Cloud Nine,Aqua Tail,Water,Serious,,
No,No,6,"X, Y",,,Mega,Weedle,3,,Mega Beedrill,Mega Dardargnan,15,,,beedrill-mega,Beedrill,Yes,beedrill-mega,Bug,,Poison,,"3,840",Bug,,50.00%,50.00%,Adaptability,,,Color Change,Arm Thrust,Fighting,Timid,Speed,Attack
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Pidgey,0,,Pidgey,Roucool,16,,,pidgey,Pidgey,,pidgey,Normal,,Flying,,"3,840",Flying,,50.00%,50.00%,Keen Eye,Tangled Feet,Big Pecks,Comatose,Aromatherapy,Grass,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Pidgey,1,18,Pidgeotto,Roucoups,17,,,pidgeotto,Pidgeotto,,pidgeotto,Normal,,Flying,,"3,840",Flying,,50.00%,50.00%,Keen Eye,Tangled Feet,Big Pecks,Competitive,Aromatic Mist,Fairy,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Pidgey,2,36,Pidgeot,Roucarnage,18,,,pidgeot,Pidgeot,,pidgeot,Normal,,Flying,,"3,840",Flying,,50.00%,50.00%,Keen Eye,Tangled Feet,Big Pecks,Compound Eyes,Assist,Normal,,,
No,No,6,"X, Y",,,Mega,Pidgey,3,,Mega Pidgeot,Mega Roucarnage,18,,,pidgeot-mega,Pidgeot,Yes,pidgeot-mega,Normal,,Flying,,"3,840",Flying,,50.00%,50.00%,No Guard,,,Contrary,Assurance,Dark,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Rattata,0,,Rattata,Rattata,19,,,rattata,Rattata,,rattata,Normal,,,,"3,840",Field,,50.00%,50.00%,Run Away,Guts,Hustle,Corrosion,Astonish,Ghost,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Rattata,1,,Rattata ♀,Rattata ♀,19,,,rattata,Rattata,,rattata-f,Normal,,,,"3,840",Field,,50.00%,50.00%,Run Away,Guts,Hustle,Cotton Down,Attack Order,Bug,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Rattata,2,,Rattata-Alola,Rattata d'Alola,19,,,rattata-alola,"Rattata
(Alolan)",,rattata-alola,Dark,,Normal,,"3,840",Field,,50.00%,50.00%,Gluttony,Hustle,Thick Fat,Cursed Body,Attract,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Rattata,3,20,Raticate,Rattatac,20,,,raticate,Raticate,,raticate,Normal,,,,"3,840",Field,,50.00%,50.00%,Run Away,Guts,Hustle,Cute Charm,Aura Sphere,Fighting,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Rattata,4,20,Raticate ♀,Rattatac ♀,20,,,raticate,Raticate,,raticate-f,Normal,,,,"3,840",Field,,50.00%,50.00%,Run Away,Guts,Hustle,Damp,Aura Wheel,Electric,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Rattata,5,20 (Night),Raticate-Alola,Rattatac d'Alola,20,,,raticate-alola,"Raticate
(Alolan)",,raticate-alola,Dark,,Normal,,"3,840",Field,,50.00%,50.00%,Gluttony,Hustle,Thick Fat,Dancer,Aurora Beam,Ice,,,
Yes,No,7,"Sun, Moon",,Alolan,Totem,Rattata,6,,Totem Raticate-Alola,Totem Rattatac d'Alola,20,,,raticate-alola,"Raticate
(Alolan)",,raticate-alola-totem,Dark,,Normal,,"3,840",Field,,50.00%,50.00%,Thick Fat,,,Dark Aura,Aurora Veil,Ice,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Spearow,0,,Spearow,Piafabec,21,,,spearow,Spearow,,spearow,Normal,,Flying,,"3,840",Flying,,50.00%,50.00%,Keen Eye,,Sniper,Dauntless Shield,Autotomize,Steel,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Spearow,1,20,Fearow,Rapasdepic,22,,,fearow,Fearow,,fearow,Normal,,Flying,,"3,840",Flying,,50.00%,50.00%,Keen Eye,,Sniper,Dazzling,Avalanche,Ice,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Ekans,0,,Ekans,Abo,23,,,ekans,Ekans,,ekans,Poison,,,,"5,120",Field,Dragon,50.00%,50.00%,Intimidate,Shed Skin,Unnerve,Defeatist,Baby-Doll Eyes,Fairy,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Ekans,1,22,Arbok,Arbok,24,,,arbok,Arbok,,arbok,Poison,,,,"5,120",Field,Dragon,50.00%,50.00%,Intimidate,Shed Skin,Unnerve,Defiant,Baneful Bunker,Poison,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Pikachu,0,2 (Happiness),Pikachu,Pikachu,25,,,pikachu,Pikachu,,pikachu,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Delta Stream,Barrage,Normal,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Pikachu,1,2 (Happiness),Alpha Pikachu,Baron Pikachu,25,,,pikachu,Pikachu,,pikachu-alpha,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Delta Stream,Barrage,Normal,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Pikachu,2,2 (Happiness),Pikachu ♀,Pikachu ♀,25,,,pikachu,Pikachu,,pikachu-f,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Desolate Land,Barrier,Pyschic,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Pikachu,3,2 (Happiness),Alpha Pikachu ♀,Baron Pikachu ♀,25,,,pikachu,Pikachu,,pikachu-alpha-f,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Desolate Land,Barrier,Pyschic,,,
No,No,6,"X, Y",Alternate,,Event,Pikachu,4,,Cosplay Pikachu,Pikachu Cosplayeur,25,,,pikachu-cosplay,Pikachu,,pikachu-cosplay,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Disguise,Baton Pass,Normal,,,
No,No,6,"X, Y",Alternate,,Event,Pikachu,5,,Cool Pikachu,Pikachu Rockeur,25,,,pikachu-rock-star,Pikachu,,pikachu-rock-star,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Download,Beak Blast,Flying,,,
No,No,6,"X, Y",Alternate,,Event,Pikachu,6,,Beauty Pikachu,Pikachu Lady,25,,,pikachu-belle,Pikachu,,pikachu-belle,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Drizzle,Beat Up,Dark,,,
No,No,6,"X, Y",Alternate,,Event,Pikachu,7,,Cute Pikachu,Pikachu Star,25,,,pikachu-pop-star,Pikachu,,pikachu-pop-star,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Drought,Behemoth Bash,Steel,,,
No,No,6,"X, Y",Alternate,,Event,Pikachu,8,,Clever Pikachu,Pikachu Docteur,25,,,pikachu-phd,Pikachu,,pikachu-phd,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Dry Skin,Behemoth Blade,Steel,,,
No,No,6,"X, Y",Alternate,,Event,Pikachu,9,,Tough Pikachu,Pikachu Catcheur,25,,,pikachu-libre,Pikachu,,pikachu-libre,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Early Bird,Belch,Poison,,,
Yes,No,7,"Sun, Moon",Alternate,,Event,Pikachu,10,,Kanto Cap Pikachu,Pikachu Casquette Originale,25,,,pikachu-original-cap,Pikachu,,pikachu-original-cap,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Effect Spore,Belly Drum,Normal,,,
Yes,No,7,"Sun, Moon",Alternate,,Event,Pikachu,11,,Hoenn Cap Pikachu,Pikachu Casquette de Hoenn,25,,,pikachu-hoenn-cap,Pikachu,,pikachu-hoenn-cap,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Electric Surge,Bestow,Normal,,,
Yes,No,7,"Sun, Moon",Alternate,,Event,Pikachu,12,,Sinnoh Cap Pikachu,Pikachu Casquette de Sinnoh,25,,,pikachu-sinnoh-cap,Pikachu,,pikachu-sinnoh-cap,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Emergency Exit,Bide,Normal,,,
Yes,No,7,"Sun, Moon",Alternate,,Event,Pikachu,13,,Unova Cap Pikachu,Pikachu Casquette d'Unys,25,,,pikachu-unova-cap,Pikachu,,pikachu-unova-cap,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Fairy Aura,Bind,Normal,,,
Yes,No,7,"Sun, Moon",Alternate,,Event,Pikachu,14,,Kalos Cap Pikachu,Pikachu Casquette de Kalos,25,,,pikachu-kalos-cap,Pikachu,,pikachu-kalos-cap,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Filter,Bite,Dark,,,
Yes,No,7,"Sun, Moon",Alternate,,Event,Pikachu,15,,Alola Cap Pikachu,Pikachu Casquette d'Alola,25,,,pikachu-alola-cap,Pikachu,,pikachu-alola-cap,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Flame Body,Black Hole Eclipse,Dark,,,
Yes,No,7,"Sun, Moon",Alternate,,Event,Pikachu,16,,Partner Cap Pikachu,Pikachu Casquette Partenaire,25,,,pikachu-partner-cap,Pikachu,,pikachu-partner-cap,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Flare Boost,Blast Burn,Fire,,,
Yes,No,8,"Sword, Shield",,,Gigantamax,Pikachu,17,,Gigantamax Pikachu,Gigamax Pikachu,25,,,pikachu-gmax,Pikachu,,pikachu-gmax,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Flash Fire,Blaze Kick,Fire,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Pikachu,18,Thunder Stone,Raichu,Raichu,26,,,raichu,Raichu,,raichu,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Flower Gift,Blizzard,Ice,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Pikachu,19,Thunder Stone,Alpha Raichu,Baron Raichu,26,,,raichu,Raichu,,raichu-alpha,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Flower Gift,Blizzard,Ice,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Pikachu,20,Thunder Stone,Raichu ♀,Raichu ♀,26,,,raichu,Raichu,,raichu-f,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Flower Veil,Block,Normal,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Pikachu,21,Thunder Stone,Alpha Raichu ♀,Baron Raichu ♀,26,,,raichu,Raichu,,raichu-alpha-f,Electric,,,,"2,560",Field,Fairy,50.00%,50.00%,Static,,Lightning Rod,Flower Veil,Block,Normal,,,
Yes,Yes,7,"Sun, Moon",Alternate,Alolan,,Pikachu,22,Thunder Stone,Raichu-Alola,Raichu d'Alola,26,,,raichu-alola,"Raichu
(Alolan)",,raichu-alola,Electric,,Pyschic,,"2,560",Field,Fairy,50.00%,50.00%,Surge Surfer,,,Fluffy,Bloom Doom,Grass,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Sandshrew,0,,Sandshrew,Sabelette,27,,,sandshrew,Sandshrew,,sandshrew,Ground,,,,"5,120",Field,,50.00%,50.00%,Sand Veil,,Sand Rush,Forecast,Blue Flare,Fire,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Sandshrew,1,,Sandshrew-Alola,Sabelette d'Alola,27,,,sandshrew-alola,"Sandshrew
(Alolan)",,sandshrew-alola,Ice,,Steel,,"5,120",Field,,50.00%,50.00%,Snow Cloak,,Slush Rush,Forewarn,Body Press,Fighting,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Sandshrew,2,22,Sandslash,Sablaireau,28,,,sandslash,Sandslash,,sandslash,Ground,,,,"5,120",Field,,50.00%,50.00%,Sand Veil,,Sand Rush,Friend Guard,Body Slam,Normal,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Sandshrew,3,Ice Stone,Sandslash-Alola,Sablaireau d'Alola,28,,,sandslash-alola,"Sandslash
(Alolan)",,sandslash-alola,Ice,,Steel,,"5,120",Field,,50.00%,50.00%,Snow Cloak,,Slush Rush,Frisk,Bolt Beak,Electric,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Nidoran ♀,0,,Nidoran ♀,Nidoran ♀,29,,,nidoran-f,Nidoran ♀,,nidoran-f,Poison,,,,"5,120",Monster,Field,0.00%,100.00%,Poison Point,Rivalry,Hustle,Full Metal Body,Bolt Strike,Electric,,,
Yes,No,1,"Red, Green, Blue, Yellow",,,,Nidoran ♀,1,16,Nidorina,Nidorina,30,,,nidorina,Nidorina,,nidorina,Poison,,,,"5,120",Undiscovered,,0.00%,100.00%,Poison Point,Rivalry,Hustle,Fur Coat,Bone Club,Ground,,,
Yes,No,1,"Red, Green, Blue, Yellow",,,,Nidoran ♀,2,Moon Stone,Nidoqueen,Nidoqueen,31,,,nidoqueen,Nidoqueen,,nidoqueen,Poison,,Ground,,"5,120",Undiscovered,,0.00%,100.00%,Poison Point,Rivalry,Sheer Force,Gale Wings,Bone Rush,Ground,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Nidoran ♂,0,,Nidoran ♂,Nidoran ♂,32,,,nidoran-m,Nidoran ♂,,nidoran-m,Poison,,,,"5,120",Monster,Field,100.00%,0.00%,Poison Point,Rivalry,Hustle,Galvanize,Bonemerang,Ground,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Nidoran ♂,1,16,Nidorino,Nidorino,33,,,nidorino,Nidorino,,nidorino,Poison,,,,"5,120",Monster,Field,100.00%,0.00%,Poison Point,Rivalry,Hustle,Gluttony,Boomburst,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Nidoran ♂,2,Moon Stone,Nidoking,Nidoking,34,,,nidoking,Nidoking,,nidoking,Poison,,Ground,,"5,120",Monster,Field,100.00%,0.00%,Poison Point,Rivalry,Sheer Force,Gooey,Bounce,Flying,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Clefairy,0,2 (Happiness),Clefairy,Mélofée,35,,,clefairy,Clefairy,,clefairy,Fairy,,Normal,,"2,560",Fairy,,25.00%,75.00%,Cute Charm,Magic Guard,Friend Guard,Gorilla Tactics,Branch Poke,Grass,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Clefairy,1,2 (Happiness),Alpha Clefairy,Baron Mélofée,35,,,clefairy,Clefairy,,clefairy-alpha,Fairy,,Normal,,"2,560",Fairy,,25.00%,75.00%,Cute Charm,Magic Guard,Friend Guard,Gorilla Tactics,Branch Poke,Grass,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Clefairy,2,Moon Stone,Clefable,Mélodelfe,36,,,clefable,Clefable,,clefable,Fairy,,Normal,,"2,560",Fairy,,25.00%,75.00%,Cute Charm,Magic Guard,Unaware,Grass Pelt,Brave Bird,Flying,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Clefairy,3,Moon Stone,Alpha Clefable,Baron Mélodelfe,36,,,clefable,Clefable,,clefable-alpha,Fairy,,Normal,,"2,560",Fairy,,25.00%,75.00%,Cute Charm,Magic Guard,Unaware,Grass Pelt,Brave Bird,Flying,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Vulpix,0,,Vulpix,Goupix,37,,,vulpix,Vulpix,,vulpix,Fire,,,,"5,120",Field,,25.00%,75.00%,Flash Fire,,Drought,Grassy Surge,Breaking Swipe,Dragon,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Vulpix,1,,Alpha Vulpix,Baron Goupix,37,,,vulpix,Vulpix,,vulpix-alpha,Fire,,,,"5,120",Field,,25.00%,75.00%,Flash Fire,,Drought,Grassy Surge,Breaking Swipe,Dragon,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Vulpix,2,,Vulpix-Alola,Goupix d'Alola,37,,,vulpix-alola,"Vulpix
(Alolan)",,vulpix-alola,Ice,,,,"5,120",Field,,25.00%,75.00%,Snow Cloak,,Snow Warning,Gulp Missile,Breakneck Blitz,Normal,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Vulpix,3,Fire Stone,Ninetales,Feunard,38,,,ninetales,Ninetales,,ninetales,Fire,,,,"5,120",Field,,25.00%,75.00%,Flash Fire,,Drought,Guts,Brick Break,Fighting,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Vulpix,4,Fire Stone,Alpha Ninetales,Baron Feunard,38,,,ninetales,Ninetales,,ninetales-alpha,Fire,,,,"5,120",Field,,25.00%,75.00%,Flash Fire,,Drought,Guts,Brick Break,Fighting,,,
Yes,Yes,7,"Sun, Moon",,Alolan,,Vulpix,5,Ice Stone,Ninetales-Alola,Feunard d'Alola,38,,,ninetales-alola,"Ninetales
(Alolan)",,ninetales-alola,Ice,,,,"5,120",Field,,25.00%,75.00%,Snow Cloak,,Snow Warning,Harvest,Brine,Water,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Jigglypuff,0,,Jigglypuff,Rondoudou,39,,,jigglypuff,Jigglypuff,,jigglypuff,Fairy,,Normal,,"2,560",Fairy,,25.00%,75.00%,Cute Charm,Competitive,Friend Guard,Healer,Brutal Swing,Dark,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Jigglypuff,1,Moon Stone,Wigglytuff,Grodoudou,40,,,wigglytuff,Wigglytuff,,wigglytuff,Fairy,,Normal,,"2,560",Fairy,,25.00%,75.00%,Cute Charm,Competitive,Frisk,Heatproof,Bubble,Water,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Zubat,0,,Zubat,Nosferapti,41,,,zubat,Zubat,,zubat,Poison,,Flying,,"3,840",Flying,,50.00%,50.00%,Inner Focus,,Infiltrator,Heavy Metal,Bubble Beam,Water,,,
Yes,Yes,8,Pokémon Legends Arceus,,,Alpha,Zubat,1,,Alpha Zubat,Baron Nosferapti,41,,,zubat,Zubat,,zubat-alpha,Poison,,Flying,,"3,840",Flying,,50.00%,50.00%,Inner Focus,,Infiltrator,Heavy Metal,Bubble Beam,Water,,,
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Zubat,2,,Zubat ♀,Nosferapti ♀,41,,,zubat,Zubat,,zubat-f,Poison,,Flying,,"3,840",Flying,,50.00%,50.00%,Inner Focus,,Infiltrator,Honey Gather,Bug Bite,Bug,,,
Yes,Yes,8,Pokémon Legends Arceus,Gender,,Alpha,Zubat,3,,Alpha Zubat ♀,Baron Nosferapti ♀,41,,,zubat,Zubat,,zubat-f-alpha,Poison,,Flying,,"3,840",Flying,,50.00%,50.00%,Inner Focus,,Infiltrator,Honey Gather,Bug Bite,Bug,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Zubat,4,22,Golbat,Nosferalto,42,,,golbat,Golbat,,golbat,Poison,,Flying,,"3,840",Flying,,50.00%,50.00%,Inner Focus,,Infiltrator,Huge Power,Bug Buzz,Bug,,,
